Descripcion;Precio Contado;Precio Tarjeta;SEGMENTO
COLLAR BULON 110X 1°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 1/2° CON INCERTO DE BCE;11470,45;13994;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 1/2°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 3/4° CON INCERTO DE BCE;12143,94;14816;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X 3/4°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 110X1 1/4°AGUAMAT;8521,85;10397;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 140X 1°AGUAMAT;18075,78;22053;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 140X 1/2°AGUAMAT;18075,78;22053;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 140X1 1/4°AGUAMAT;18075,78;22053;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X 1°AGUAMAT;16670,04;20338;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X 1/2°AGUAMAT;16605,25;20259;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X 3/4°AGUAMAT;16605,25;20259;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 160X1 1/4°AGUAMAT;16670,04;20338;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1 1/4°AGUAMAT;7189,94;8772;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1°AGUAMAT;7230,61;8822;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1/2° CON INCERTO DE BCE;10319,34;12590;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 1/2°AGUAMAT;1821,59;2223;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 3/4° CON INCERTO DE BCE;11015,43;13439;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 75X 3/4°AGUAMAT;7189,94;8772;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90 X 1/2° RACO 2 BULON AGUAMAT;16701,68;20377;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1 1/4°AGUAMAT;7328,55;8941;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1°AGUAMAT;7376,77;9000;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1/2° CON INCERTO DE BCE;10463,98;12767;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 1/2°AGUAMAT;7376,77;9000;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 3/4° CON INCERTO DE BCE;11169,11;13627;MONTURA, ABRAZADERA, RIEGO
COLLAR BULON 90X 3/4°AGUAMAT;7376,77;9000;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 40X 1°AGUAMAT;6368,79;7770;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 40X 1/2°AGUAMAT;6418,51;7831;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 40X 3/4°AGUAMAT;6368,79;7770;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 50X 1° AGUAMAT;6337,15;7732;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 50X 1/2° AGUAMAT;6337,15;7732;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 50X 3/4° AGUAMAT;6337,15;7732;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 63X 1° AGUAMAT;6701,77;8177;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 63X 1/2° AGUAMAT;6701,77;8177;MONTURA, ABRAZADERA, RIEGO
COLLAR C/BULON 63X 3/4° AGUAMAT;6701,77;8177;MONTURA, ABRAZADERA, RIEGO
LLAVE MAESTRA 20 X 1/2° RM PLASTICO AGUAMAT;7977,94;9734;MEDIDOR
NIPLE PARA MEDIDOR DN 15 MM AGUAMAT;1651,34;2015;MEDIDOR
RACOR ROSCA MACHO 20MM X 1/2° POLIET AD AGUAMAT;4428,17;5403;MEDIDOR
VALVULA DE RETENCION DN 15MM AGUAMAT;4182,58;5103;MEDIDOR
VALVULA ESFERICA C/ACOPLE RAP PEAD 20 RH 3/4°;10634,23;12974;MEDIDOR
VALVULA ESFERICA C/ACOPLE RAP PEAD 25 RH 1°;13290,53;16215;MEDIDOR
REJILLA GAS APROBADA 15 X 15 /100CM2 AIR;960,34;1172;REJA, VENTILACION
REJILLA GAS APROBADA 15 X 30 /200CM2;1920,67;2344;REJA, VENTILACION
REJILLA GAS APROBADA 20 X 20 /100CM2 AIRVENT;1329,16;1622;REJA, VENTILACION
MALLA ADVENTENCIA 15CM TELEF.BLANCA X mts;717,18;875;MALLAS, CINTA
MALLA ADVERTENCIA 15CM AGUA AZUL X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM CLOACA NARANJA X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM E.R.F.V VERDE X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM ELECTRICIDAD ROJA X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA 15CM GAS AMARILLA X mts;580,07;708;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM AGUA AZUL X mts;750,33;916;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM CLOACA NARANJA X mt;750,33;916;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM ELECTRI ROJA X mts;750,33;916;MALLAS, CINTA
MALLA ADVERTENCIA DE TECT 15CM GAS AMARILLA X mts;750,33;916;MALLAS, CINTA
MALLA VALLADO 1MT X mts NARANJA SEGURIDAD;505,58;617;MALLAS, CINTA
BOMBA CONDE NSADO BLUESTAR-MPC-ORANGE/RED;121042,92;147673;AIRE, ACONDICIONADO
BOMBA VACIO BLUESTAR DVP 1A-60LT/MIN;681984,43;832022;AIRE, ACONDICIONADO
CASSETE INVERTER 15000 KCAL LG;5382576,88;6566744;AIRE, ACONDICIONADO
CASSETE INVERTER 9000 KCAL LG;3617651;4413535;AIRE, ACONDICIONADO
CINTA BLANCA SIN ADHESIVO 20 mts X 72MM-101B;3146,98;3840;AIRE, ACONDICIONADO
CONDENSADOR MULTISPLIT 7000 KCAL LG;2880377,49;3514061;AIRE, ACONDICIONADO
EVAPORADORA DE 2250 KCAL ARTCOOL;634802,53;774460;AIRE, ACONDICIONADO
EVAPORADORA DE 3000 KCAL ARTCOOL;852669,96;1040258;AIRE, ACONDICIONADO
GARRAFA 13,6 kg -R22-BLUE STAR;477565,62;582631;AIRE, ACONDICIONADO
JUEGO TACOS GOMA ANTIVID. COND X 4UNIDADES;4415,98;5388;AIRE, ACONDICIONADO
JUEGO TACOS GOMA PARA SPLIT X 4UNIDADES;4178,95;5099;AIRE, ACONDICIONADO
LATA 1 kg - R22- NECTON;52571,19;64137;AIRE, ACONDICIONADO
MANIFOLD VMG-2-R410A VALUE;164090,34;200191;AIRE, ACONDICIONADO
MENSULA 62CM PARA AIRE ACOND C/U 70 kg EPOXI;27511,26;33564;AIRE, ACONDICIONADO
MENSULA 80CM PARA AIRE ACOND C/U 200 kg EPOXI;46144,72;56297;AIRE, ACONDICIONADO
TIRA DE 1.83 mts 3/4° AIRE ACONDICIONADO;3329,18;4062;AIRE, ACONDICIONADO
VALVULA PARA LATA 1 kg MP39/R134/HCFC141;7231,27;8823;AIRE, ACONDICIONADO
ADAPTADOR 60/100- 80/125 3318040;60983,41;74400;CALDERA, ARISTON
CODO 45º CONDE NS X 2UNID 3318076;109234,1;133266;CALDERA, ARISTON
CODO 45º ELBOW 125- 3318037, 2 UNID;124755,62;152202;CALDERA, ARISTON
CODO 90º CONDE NS 3318075;62024,32;75670;CALDERA, ARISTON
CODO 90º ELBOW 125 3318036;57604,13;70278;CALDERA, ARISTON
COND ADAPTADOR 60-100-80/125 3318095;43559,2;53143;CALDERA, ARISTON
COND VERTICAL START- 3318079;40074,71;48892;CALDERA, ARISTON
CURVA COAXIAL A 45ºX2 UNID. 3318004;81239,9;99113;CALDERA, ARISTON
CURVA COAXIAL A 90º 3318003;45707,12;55763;CALDERA, ARISTON
EXTENSION COAXIAL 1 M 3318005;51498,66;62829;CALDERA, ARISTON
EXTENSION COAXIAL 1 M 80/125 3318038;101119,85;123367;CALDERA, ARISTON
EXTENSION COAXIAL 1 M CONDE NS 3318077;72116,91;87983;CALDERA, ARISTON
EXTENSION X 1M 80/125 P/CONDE N 3318093;136095,22;166037;CALDERA, ARISTON
KIT HORIZONTAL COAXIAL 80/125 3318090;288469,38;351933;CALDERA, ARISTON
SONDA EXTERNA SENSYS 3318588;23809,69;29048;CALDERA, ARISTON
STANDARD HORIZONTAL COAXIAL 3318035;218049,06;266020;CALDERA, ARISTON
TERMINAL DESCARGA TECHOS NEGRO 3318013;178446,55;217705;CALDERA, ARISTON
TERMOSTATO ARISTON SENSYS NET LIGHT 3318991 WIFI;353265,12;430984;CALDERA, ARISTON
VERTICAL START WIHT 3318008;56627,57;69086;CALDERA, ARISTON
CALDERA CLAS X 28 FF* DUAL + 3318000 DOBLE SERVIC;2354549,8;2872551;CALDERA, ARISTON
CALDERA COND.CALEF.GENUS ONE SYSTEM 35 +3318073;4434982,12;5410679;CALDERA, ARISTON
CALDERA CONDE N CLAS ONE 24EU;3426534,51;4180373;CALDERA, ARISTON
CALDERA CONDE N DUAL CLAS ONE 24EU 3301017+3318073;3467120,77;4229888;CALDERA, ARISTON
CALDERA CONDE N.DUAL ALTEAS ONE NET + 3318073;5129308,31;6257757;CALDERA, ARISTON
CALDERA HS X (OBRA) + 3318000 ARISTON DS 24000;1788654,32;2182159;CALDERA, ARISTON
TERMOSTATO ARISTON SENSYS 3318585;262799,74;320616;CALDERA, ARISTON
SD-TUBO PVC CL10 - 32X1.6MM 3 METROS JP MARRON;5017,29;6122;caños tigre riego
SD-TUBO PVC CL10 - 40X2.0MM 3 METROS JP MARRON;6682,18;8153;caños tigre riego
SD-TUBO PVC CL10 - 50X2.4MM 3 METROS JP MARRON;9457,51;11539;caños tigre riego
SD-TUBO PVC CL16 - 20X1.0MM 3 METROS JP MARRON;2692,46;3285;caños tigre riego
SD-TUBO PVC CL16 - 25X1.2MM 3 METROS JP MARRON;3563,33;4348;caños tigre riego
BUJE RED.1 X 3/4° HIERRO FORJ. ASTM 105 SER. 2000;17992,92;21952;astm gas
BUJE RED.11/4°X 3/4° HIERRO ASTM 105 SER. 2000;27467;33510;astm gas
